genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count
Arap Karşıtı,['Irk/Etnik Köken'],2,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"Cumhurbaşkanlığı 

Şerefim üstüne yemin ederim 

2 milyon oy atan arap var .
Adı ehmet mehmet recep olmuş. 
Bu zamana kadar bunun önüne geçmeliydi @herkesicinCHP 
@DrSinanOgan Bu ülke araplarin değil uyan Sinan Oğan uyan",Şura,2023-08-17T21:14:31,Arabian,1658092322624504064,Türkçe,1
Arap Karşıtı,['Hedef grup birden fazla.'],3,['Simgeleştirme'],Yok,@1vatandas1071 @con_hanife @yirmiucderece Bakın ülkeyi yakacaklar gerçek dışı laflarınızla  siz kürtlerden korkma durun  böyle devam ozaman yeterki ülke Arap Suriyelilerin İran Afgan dolsun,Şura,2023-08-17T21:14:31,Arabian,1658181039087312896,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Milliyetciyse de milliyetci, Turkcuyse de Turkcu. Bu adam bizim tek secenegimiz bu vatanin milli yanlarini koruyacak tek yolumuz. Bu topraklarda tek Turk cocugunu cirkef arap bedevilerine ezdirmeyecegiz. Kazanacagiz! https://t.co/1Id2Xy3EHM",Firdevs,2023-08-25T19:00:54,Arabian,1658576707371127040,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Eller kırılsın inşallah Atam kimlere emanet etmiş gençliği sahip çıkamadık arap bozuntularına karşı genede rabbim sen konuyu biliyorsun görüyorsun olanları daha nediyim,Firdevs,2023-08-25T19:01:15,Arabian,1658047361354981120,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,@dman_kbr @AhmetYARM21 Şuan Erdoğan Arap oylarıyla bile kazanamadı . Erdoğan'ın şuan ayakta kalması ülkemizi satın alan Araplardir siz değilsiniz,Şura,2023-11-14T07:57:40,Arabian,1658409481452003072,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Hedef grup birden fazla.']",10,"['Dışlama; Ayrımcı Söylem', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Şiddetli,"Tayyipe oy veren akpliler hdp 
 demirtaş ve ittifakta akpli var diye kemal kılıçdaroğluna oy vermeyenler bu ülkenin arap çöplüğüne gelmişini istiyordur yaşayın bakalım o.c arap kardeşlerinizle beraber sayeniz de bu ülke şeriatlı sığınmacı çöplüğü olacak https://t.co/QincY4t6Og",Şura,2023-11-14T07:57:40,Arabian,1658071342095187968,Türkçe,2
Arap Karşıtı,"['Irk/Etnik Köken', 'Hedef grup birden fazla.']",6,"['Simgeleştirme', 'Abartma; Genelleme; Yükleme; Çarpıtma']",Şiddetli,Halep oradaysa arşın burada! İran olmak istiyorsanız gidin bu arap kırması dansözlere oy verin. Biz de siktir olup gidelim https://t.co/TPp4g4fFzu,Beril,2023-12-06T19:22:45,Arabian,1658219807177687040,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],4,['Dışlama; Ayrımcı Söylem'],Zayıf,"@mimarifacialar Lunapark a çevirmişler evi. klasik zengin Ortadoğulu, Arap kafası ve iğrenç mimari tasarımları. Maddi açıdan zenginler ama zihinleri fakir. O kadar Işık ve renk gözünü ve Zihnini müthiş yorar. RAM den yersin boş yere. Gel de anlat..",Can,2024-05-10T09:56:35,Arabian,1658762278659825920,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,@DasdemirHilmi Yok ya Suriyelileri o yüzden mi doldurdunuz yüz yıllardır kardeşim dediğiniz kürtlerin bir tabela alamadığı ülkemizde Arap tabelaları sayısız binlerce var böyle mi Türklerindir oluyor urfa ds öyle semtler varki Suriye sanarsiniz,Şura,2023-11-08T04:01:33,Arabian,1658567130026070016,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],2,['Simgeleştirme'],Yok,Bakın böyle düşünmek o kadar salakça ki istediğin yere git araplara şuan nasıl saygı duyuyorsan oradaki kişilerde sana o gözle bakacak ülkenin onuru gururu vardır adamlar bizi arap sanıyor amk türklük diye bir şey bırakmadı adamlar kendinize gelin saygınlığın yok olm senin https://t.co/I3EUJrsA0A,Ege,2024-04-15T21:10:19,Arabian,1658036079071511040,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],5,['Abartma; Genelleme; Yükleme; Çarpıtma'],Şiddetli,@UURARIKAN172774 hassss........... ağzımı bozucam artık.. vatan demiş.. Anadolu'yu Arap yurduna çevirenler...,Şura,2023-11-14T07:57:40,Arabian,1658508941372816896,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],9,"['Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Şiddetli,Türküz lan biz kim ne derse desin Türk evladıyız arap soyunuzu da bozulmuş kanınızın da amınakoyayım. sağı da sikeyim solu da içinde birazcık milliyetçilik duygusu olan her kardeşime sarılmak istiyorum.,Ege,2024-04-15T21:10:19,Arabian,1658601843549782016,Türkçe,2
Arap Karşıtı,"['Irk/Etnik Köken', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",3,['Simgeleştirme'],Zayıf,"Arapsınız, ARAP. Arap şarkılarıyla alkışlanıp arap şeyhlerine ruhunuzu sattınız. Gökten inen dogmaları hayat gayeleriniz yaptınız. Kendi hayatlarınızı dinle uyuşturduğunuz yetmedi ülkeyi bu medeniyetsizlere sattınız. Türk gencinin en büyük yarası ve düşmanı sizsiniz. https://t.co/yBAhNHXhaq",Firdevs,2023-08-25T19:01:36,Arabian,1658621119736304128,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Cinsel Yönelim']",6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@hikmetgenc Top sensin,halkından bahsediyorsun Arap değiliz, Turkuz
İstila eden biz değiliz,vergi veren biziz,ülkeyi ayakta tutan  biz, soyan siz  şimdi di sen söyle kim top?",Şura,2023-11-14T07:57:40,Arabian,1658489284847104000,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],5,['Dışlama; Ayrımcı Söylem'],Zayıf,@Turk_Patriot Seiat ülkesi ile yönetilen bir Arap ülkesinde doğmadım ben andam.. nefret ediyorum her türlü Arap kültüründen,Beril,2023-12-06T19:22:32,Arabian,1658201139198696960,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,@Darkwebhaber Arap bedevilerinin yüzünden ilerde çocuklarınızin bedduasini almaya değermi gerçekten aklımızı basiniza alın bir an önce kurt seçmenlerin oyunu almak için zamanında Erdoğan neler neler yaptı aklınizi celmelerine izin vermeyin,Şura,2023-11-14T07:57:40,Arabian,1658396539373466112,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,Şu görüntüden de mi utanmıyorsunuz awk 🤦🏻‍♂️ ülke arap çöplüğüne döndü iyice https://t.co/nuS1fjVKH5,Burak,2023-11-08T03:27:27,Arabian,1658061681749025024,Türkçe,3
Arap Karşıtı,"['Irk/Etnik Köken', 'Hedef grup birden fazla.']",3,['Emin değilim'],Yok,"@TugrulTurkes @DrSinanOgan MHP arap milliyetçisidir. Türk Milliyetçiği ATA İttifakında yeşermiştir.

Mhp milliyetçilerini videoda izledik. 

https://t.co/xuFSFfQUja",Şura,2023-11-08T04:01:33,Arabian,1658219274945670912,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Dışlama; Ayrımcı Söylem'],Yok,@ibrahimbozanTR Hiçbir Arap Türkiye'ye ait değildir..hiç hikaye okuma birader. Türkiye'nin yeni bir etnik soruna ihtiyacı yok geç o ayakları,Şura,2023-11-14T07:57:40,Arabian,1658499122054278912,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],8,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@isotmen6 @tunbydr @aykiricomtr Hakaret etmeden konuşamıyorsan siktimin salağı cevap vermezsin amk arap yalayicis,Beril,2023-12-06T19:22:32,Arabian,1658576786370753024,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],6,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,"10-yerlerinde hep Arap şeyhlerinin çocukları, yanlarında Rus sevgilileriyle oturduğunu görüyorum. 
Kendi ülkelerini modernleştirmek yerine, modern ülkelerde hayatlarını yaşıyor, kendi halklarına da din pazarlıyorlar.
Gidip, bu adamların ülkesinde, “bu adamlar size din merkezli",Şura,2023-11-14T07:57:40,Arabian,1658716984756908032,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Din', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu']",4,['Simgeleştirme'],Şiddetli,Yazıklar Olsun milletimize! Arap zihniyetli fatih erbakan mecliste iken Türkler uğruna emek veren Sayın Ümit Özdağ meclise girememiş boktan siyasetiniz batsın!,Şura,2023-11-14T07:57:40,Arabian,1658078620030575104,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Dışlama; Ayrımcı Söylem'],Yok,DÜNÜN ÖZETİ TÜRK MİLLETİNİN YÜZÜ ASIK SURİYELİ VE ARAP SEVİCİLERİN YÜZÜ GÜLÜYOR KAYBEDEN TÜRK HALKI VE TÜRKİYE CUMHURİYETİ OLMUŞTUR,Can,2024-05-10T09:56:35,Arabian,1658005523319365888,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Dışlama; Ayrımcı Söylem'],Yok,@tugberk37 Saçmalama ya biz Arap miyiz niye sevelim. Araplara duyduğu sevginin saygının kaçta kaçını duydu bize,Can,2024-05-10T09:56:35,Arabian,1657950590238859008,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],5,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"@Thebory2 @teyakkuzhaber Olur kanka, 5 sene içinde ülkedeki arap sayısı 25 milyon olduğunda kurtul kurtulabiliyosan bu iktidardan o zaman ne diyeyim.",Şura,2023-11-14T07:57:40,Arabian,1658772908599136000,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Hedef grup birden fazla.']",5,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Zayıf,@hhyjn_fig belcikada yalnizca brukselde yasarsan azcik cekilir oluyor zaten ekonomik krizi var insanlari ayri sorun turkiyeden daha fazla arap var insanlar ulkenin varligini bile bilmiyor kanimla canimla nefret ediyorum ulkeden kurtulmak icin her seyimi veriyorum,Firdevs,2023-08-25T19:01:36,Arabian,1658128676087635968,Türkçe,2
Arap Karşıtı,['Hedef grup birden fazla.'],Emin değilim.,"['Emin değilim', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Şiddetli,"@_aslantug Burası fasli kadir cubbeli Ahmet Hizbullah'ı seven geri zekalılar in çoğunlukla olduğu tipik bir Arap toplumu bunu çok iyi sömüren de var olduğuna göre sizlere ve bizlere hoşnutsuzluk düşüyor terki diyar edip geri zekalılari kendi başlarına bırakmak en doğru yol görünüyor .
Svg.",Şura,2023-11-14T07:57:40,Arabian,1658052640553550080,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],2,['Simgeleştirme'],Yok,"@Zeynkhrmnn @sevdaturkusev Gaffar Okkan'ın katillerine oy verdin, kemikleri sızladı. Ben ise gidip hdpye oy vermedim. Günün birinde hdpye çalışmaya başlasa evet onu da indirecektim. Ben Yüce Türk milletiyim ve bana -hele ki siyasal islamcı embesiller tarafından- bi bok olmaz. Bak işine arap sevicisi.",Ege,2024-04-15T21:10:19,Arabian,1658054349430373888,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,@ahlalim @turkandturk @fatihportakal Ah be arzu ah be arzu hiç inandırıcı değilsin be ben daha önce tayipe defalarca oy vermiş biriyim ta ki ülkem Arap işgali altına girene kadar.. Siz tayip ölene kadar ona oy vermeye devam edeceksiniz.. Hani diyordunuz ya başka adam mı var diye işte artık var.,Firdevs,2023-08-25T19:00:54,Arabian,1658709063780246016,Türkçe,1
Arap Karşıtı,['Hedef grup birden fazla.'],6,['Abartma; Genelleme; Yükleme; Çarpıtma'],Şiddetli,@LAZBARATOS Ergenekon balyozla şerefli askeri hapseden❗️ Fetöye ne istedilerse veren❗️ osloda pkk ya açılan ❗️ şehide kelke diyen❗️ ülkeyi arap mülteci kampına çeviren ❗️ hizbullahı meclise sokanlara ❗️destek ver @umitozdag @DrSinanOgan tarihe ne renk kalemle yazılacaksınız?,Şura,2023-11-08T04:01:33,Arabian,1658100605749953024,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,['Simgeleştirme'],Yok,@Mustafa_Destici Erdoğanla birlikte hüdapar’la da yürüdün. Hürapar meclise girdi sen giremedin. Ve hala sana milliyetçi diyen varsa gitsin arap vatandaşlığı da alsın.,Şura,2023-11-08T04:01:33,Arabian,1658104831297323008,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Türk milleti salaktır gibi söylemler asla duymak istemiyorum bunlar Türk değil TC kanı değil Arap dölleri,Ege,2024-04-15T21:10:19,Arabian,1658033993474798080,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@abdulhamid3442 @medyaadami @kilicdarogluk Hoşt it çıktığın yere ben soktum ki sen çıktın tanı olm babanı. Arap özentisi ne bok olduğu belli değil,Melisa,2024-03-21T14:01:06,Arabian,1658468226878128128,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Dışlama; Ayrımcı Söylem'],Zayıf,@_maQSur_ kadınların varlığından dahi rahatsız olup arap seviciliği yapan güruhun mecliste bas bas bagıracak olmasından utanıyorum,Can,2024-05-10T09:56:35,Arabian,1658025387136253952,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",8,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,"Konuş Tanju konuş, yoksa bu seçimi kaybetmekle kalmayacağız Suriyeli Arap atıkları yüzünden Türklüğümüzü kaybedeceğiz https://t.co/85nbeDOLMr",Elif Gülben,2023-08-22T14:09:36,Arabian,1658229844520435968,Türkçe,3
Arap Karşıtı,['Irk/Etnik Köken'],3,"['Simgeleştirme', 'Abartma; Genelleme; Yükleme; Çarpıtma']",Zayıf,"@aykiricomtr Kayseri halkına arap kardeşleriyle mutluluklar. Müstahak! Ananıza bacınıza sahip çıkın da tacize uğramasınlar. Zira reisiniz onları göndermeyecek, hatta yenilerine kapı açacak. :)",Ege,2024-04-15T21:10:19,Arabian,1658062081843683072,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,İttihad ve terakki ruhu her Türk insanının içerisine işleyen bir şey. Onu siktiğimin Arapları ve Arap yobaz köpekleri alamaz.,Can,2024-05-10T09:56:35,Arabian,1657908974883074048,Türkçe,1
Arap Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",8,"['Dışlama; Ayrımcı Söylem', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,"Suriyeliye boşuna vatandaşlık verilmedi, çöl farelerine boşuna ev&amp;vatandaşlık satılmadı.
Müteahhitlerin arap paralarını ezip Porschelerle gezmesini “herkeşşş zengin” olarak gören ama açlıktan nefesi kokan reis sevdalıları; asıl ekonomik kriz şimdi başlıyor.",Elif Gülben,2023-08-22T14:09:36,Arabian,1658023166172623104,Türkçe,2
Arap Karşıtı,['Irk/Etnik Köken'],4,['Dışlama; Ayrımcı Söylem'],Yok,oradaki masum insanlar cocuklar icin hicbir sey soylemiyorum ama soyle bir sey soyleyecegim ben turkiyenin en cok Arap olan illerinden birindeyim ve korkuyorum bir gün ölürsem araplar yuzunden eger onlarin oylari ile olucak bu  o yüzden 'o seçmenler' her seyin kotusunu hakediyor https://t.co/UrM5od0qls,Can,2024-05-10T09:56:35,Arabian,1658186747329536000,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],6,['Simgeleştirme'],Zayıf,ülkede ekonomi dibi görmüş bakın taş kemirecek kıvama gelmişiz sınırlar kevgire dönmüş her tarafı arap basmış bu kadar sey olurken deprem bölgesine çadır veremeyen devlete kalkıp oy veren halk suçludur sonuçta tercihi halk yaptı böylesine yobaz bir 20 yildir hiçbir şey,Şura,2023-11-08T04:01:33,Arabian,1657997695095643904,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],4,['Simgeleştirme'],Zayıf,"@kumsalgvnn allah size akil fikir versin ama size mustahak doyecegim olmayacak o giydigin etekeleri bir daha goremeyecegin, birinin kumasi oldugun gunler ,kocanin lafiyla sokakta taslandigin gunler gelecek merak etme yine biz koruyacagiz yine biz savunacagiz seni arap ozentisi",Firdevs,2023-08-25T19:01:15,Arabian,1657928722379337984,Türkçe,1
Arap Karşıtı,['Irk/Etnik Köken'],3,"['Dışlama; Ayrımcı Söylem', 'Abartma; Genelleme; Yükleme; Çarpıtma']",Yok,@baselkanir @iremdiyebirii_ Harran urfanın arap kesiminin yaşadığı bir yer. Buranın köylerindeki araplar suriye araplarından 100 yıl gerideler.,Şura,2023-08-17T21:14:31,Arabian,1658175817359187968,Türkçe,2
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",6,"['Dışlama; Ayrımcı Söylem', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Yok,"@dileysss @baris_baris42 @DijitalNabiz @TurkcuPaylasim Ermeni çeteleriyle birleşip sultanı düşürüp, ermeni çetelerinin işine bakacağız :)",Elif Gülben,2023-09-13T11:59:28,Armenian,1658139666317558016,Türkçe,2
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",6,['Simgeleştirme'],Yok,"@OzkanYilmaz9494 @tugberk37 @filiz_BJK_ Bunların amacı bu zaten bizi birbirimize düşürmek, iki üç köpeğin lafına bakıp kanmayın bunlar ya ermeni ya yahudi uşağı içimize sızıp bizi içerden bitirme derdindeler UYANIN ARTIK YAHUUUU",Nur,2023-09-08T10:48:17,Armenian,1658347795445693952,Türkçe,1
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu']",3,"['Abartma; Genelleme; Yükleme; Çarpıtma', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,"Kürtleri katledip, kürtüz diye ortada gezen Allahsız dinsiz ermeni partisi hdp(pkk) kürtleri temsil edemez. Hayal satar zulüm eder. 
Müslüman kürtlerin gerçek partisi HÜDA-PAR efsane gerisi gazozdur.
28 Mayıs’ta sandığa sahip çıkacak Hüdapardır.",Pelin,2023-09-13T10:39:38,Armenian,1658623617897230080,Türkçe,2
Ermeni Karşıtı,['Irk/Etnik Köken'],4,"['Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,yüzyıllardır Türkler merhametleri ve yardımseverlikleri ile tanınırken kendine “Türk” diyen birinin bu cümleyi kurması onun Türk değil de Ermenistan’dan göçmüş bir Ermeni olduğunu gösterir çünkü biz insan dışı varlıklara Ermeniler deriz tıpkı sizin gibi,Pelin,2023-09-13T10:39:19,Armenian,1658500714736369920,Türkçe,2
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",6,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,"Devletin Resmi Raporuna Göre Ermeni Olan Kılıçdaroğlu!     24.568.196 Oy Almış! 

Ermenistan'da Bir Türk Mümin Aday Olsa %1 Oy Alamazdı!

bir asır kandırılmış cahil eşek sürüsü medeniyeti.",Nur,2023-09-08T10:48:17,Armenian,1658675613899653120,Türkçe,1
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Din']",6,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme']",Zayıf,@Yasini47987816 @REM__BEN Abi lütfen ama lütfen şu soy adi kanununla gelen ermeni ve yahudiler açıklansında bilelim adam türk degil irkcilik yapiyor dinsiz ama dini eleştiriyor abi lutfen aciklayin su ermenileri ve yahidileride bilelim artik,Altar,2024-01-10T21:18:00,Armenian,1658144706373583104,Türkçe,2
Ermeni Karşıtı,['Irk/Etnik Köken'],10,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@shahahshahahh @pusholder Milli İrade kazandı size iyi giydirdi bu millet bu ülkeden kaçıp gideceksiniz koşarak hadi yallah ermeni domuzu seni,Şura,2023-12-26T01:04:35,Armenian,1657983040453320960,Türkçe,1
Ermeni Karşıtı,"['Irk/Etnik Köken', 'Hedef grup birden fazla.']",4,['Simgeleştirme'],Zayıf,Kes!!   Aile soy ağacını at hele ben senin türünden şüphe etmeye başladım gayri  sendemi ermeni sin yoksa yahudimi    @fatihportakal https://t.co/RwTLuQbE21,Pelin,2023-09-13T10:39:19,Armenian,1658495699967672064,Türkçe,1
Ermeni Karşıtı,['Irk/Etnik Köken'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,"@rz_cerrahqasali Sözde Ermeni soykırımını kabul ediyor ayrıca. Ve mütemadiyen pkklı katillerin ölümünü anıyor. 

SİZDE
SİKE SÜRÜLECEK
AKIL
YOK. 

Beyinsizsiniz aq sizin ben o katil öven kadının olduğu yere oy vermek istemiyorum siktirin gidin aq",Şura,2023-12-26T01:04:35,Armenian,1658473584174731008,Türkçe,1
Ermeni Karşıtı,['Irk/Etnik Köken'],5,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,@BESUGOSU Zaten başından beri kılıçlaroğlu ermeniydi. Adamın türkiyeden türkiyeye ticaret projesinin güzergahında azerbeycan kardeş devlet yok. Niye yok çünkü proje ermeni devletine yarıyor. Azerbaycan haricinde bütün devletler var.,Şura,2023-12-26T01:04:35,Armenian,1658411213108269056,Türkçe,1
