,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,konu,tweet_id,dil,majority_decision,tweet_text_clean
84,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",8,"['Dışlama; Ayrımcı Söylem', 'Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,"Siyonistlerle diyalog, Müslümanı fasit eder (Fetö gibi) Amerikanın şirret çocuğu itrail' in güçten anlar. Kudüs özgür olana kadar DİRENİŞ   #KudüsBizimdir #QudsDay #FreePalestine",Isr-Pal,1390424951795208194,,Yahudi Karşıtı,"Siyonistlerle diyalog, Müslümanı fasit eder (Fetö gibi) Amerikanın şirret çocuğu itrail' in güçten anlar. Kudüs özgür olana kadar DİRENİŞ   #KudüsBizimdir #QudsDay #FreePalestine"
87,['Din'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Allah bir topluluğu hüsran edecekse frenlerini patlatır yokuştan inen kamyon gibi cehenneme yollar.
#Kudüsbizimdir
#KuduesBaskını",Isr-Pal,1390431018017042437,Türkçe,Yahudi Karşıtı,"Allah bir topluluğu hüsran edecekse frenlerini patlatır yokuştan inen kamyon gibi cehenneme yollar.
#Kudüsbizimdir
#KuduesBaskını"
90,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,"Hakkımız olana, halkımızın olana sahip çıkmazsak yamyamlara bırakmış olacağız. 

 #KudüsBizimdir  #FreePalestine",Isr-Pal,1390504918939746305,Türkçe,Yahudi Karşıtı,"Hakkımız olana, halkımızın olana sahip çıkmazsak yamyamlara bırakmış olacağız. 

 #KudüsBizimdir  #FreePalestine"
93,"['Ülke/Milliyet', 'Hedef grup birden fazla.']",0,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Gazzeyi abluka ya alan İsrail'i ve İslam topraklarındaki kurumlarını ablukaya almadıkça KUDÜS ESARET'TEN KURTULMAZ
#DünyaKudüsGünü
#KuduesBaskını 
#kuduesbizimdir
@username https://t.co/Qry39ptAHF",Isr-Pal,1390641144724344839,Türkçe,Yahudi Karşıtı,"Gazzeyi abluka ya alan İsrail'i ve İslam topraklarındaki kurumlarını ablukaya almadıkça KUDÜS ESARET'TEN KURTULMAZ
#DünyaKudüsGünü
#KuduesBaskını 
#kuduesbizimdir
 "
96,,,,,"#FreePalestine
#QudsDay2021 
#KudüsBizimdir
#القدس_اقرب 
 #يوم_القدس_العالمي https://t.co/jBQG2h0FOo",Isr-Pal,1390643497800278019,Türkçe değil,Yahudi Karşıtı,"#FreePalestine
#QudsDay2021 
#KudüsBizimdir
#القدس_اقرب 
 #يوم_القدس_العالمي "
99,['Din'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"ŞEHİTLERİMİZ ZAFERİN TEMİNATIDIR
#DünyaKudüsGünü
#FreePalestine
#FlyThaFlag For Quds
#QudsDay2021 
#KudüsBizimdir
#القدس_اقرب 
 #يوم_القدس_العالمي https://t.co/4lD1TAm8iq",Isr-Pal,1390682701691248643,Türkçe,Yahudi Karşıtı,"ŞEHİTLERİMİZ ZAFERİN TEMİNATIDIR
#DünyaKudüsGünü
#FreePalestine
#FlyThaFlag For Quds
#QudsDay2021 
#KudüsBizimdir
#القدس_اقرب 
 #يوم_القدس_العالمي "
102,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"İstemek yetmez.
Harekete geçmek lazım!
#KudüsBizimdir #DünyaKudüsGünü https://t.co/xxWCxbZTPx",Isr-Pal,1390726947043479553,Türkçe,Yahudi Karşıtı,"İstemek yetmez.
Harekete geçmek lazım!
#KudüsBizimdir #DünyaKudüsGünü "
105,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"#KuduesBizimdir 
Kudüs işgal Altındayken ben Gülemem
Şarkın sultanı Selahaddin Eyyubi
Kudüs coğrafi değil imani bir meseledir.
Amerika İsrail'i çok seviyorsa Güney Amerika'da yer versin. İsrail'in Ortadoğu'da yeri olamaz
Milli görüş Lideri Prof.Dr. Necmettin ERBAKAN https://t.co/Ky1tBvlQRG",Isr-Pal,1390738868757057537,Türkçe,Yahudi Karşıtı,"#KuduesBizimdir 
Kudüs işgal Altındayken ben Gülemem
Şarkın sultanı Selahaddin Eyyubi
Kudüs coğrafi değil imani bir meseledir.
Amerika İsrail'i çok seviyorsa Güney Amerika'da yer versin. İsrail'in Ortadoğu'da yeri olamaz
Milli görüş Lideri Prof.Dr. Necmettin ERBAKAN "
108,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Kahrolsun itrail https://t.co/FgMo3zL7r1,Isr-Pal,1390740413556957186,Türkçe,Yahudi Karşıtı,Kahrolsun itrail 
111,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"@username #KudüsBizimdir
#MescidiAksaKırmızıÇizğimizdir 🇹🇷🇯🇴",Isr-Pal,1390742984937857024,Türkçe,Yahudi Karşıtı," #KudüsBizimdir
#MescidiAksaKırmızıÇizğimizdir 🇹🇷🇯🇴"
114,['Din'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Bu çocuktaki yüreği ve cesareti bütün İslam Alemine ver Allahım.
Birlik içerisinde yeniden Kudüs’te İslâm sancağını dalgalandırmak için bize güç ver...
 #KudüsBizimdir https://t.co/Jvhej6ILrH",Isr-Pal,1390751910748213252,Türkçe,Yahudi Karşıtı,"Bu çocuktaki yüreği ve cesareti bütün İslam Alemine ver Allahım.
Birlik içerisinde yeniden Kudüs’te İslâm sancağını dalgalandırmak için bize güç ver...
 #KudüsBizimdir "
117,"['Irk/Etnik Köken', 'Din', 'Hedef grup birden fazla.']",5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,"İşgalci #israil #terör örgütü çapulcuları bu #Ramazan'da da müslümanlara eziyet etmeye devam ediyor. #Hayber aşkına yâ rabbi soylarını kurut bu zalimlerin!
#Kudüs
#KudüsBizimdir 
#KudüseSahipÇık #KudusBaskını #Filistin #Palestine #QudsDay #FreePalestine #FreeQuds #Kahrolsunİsrail https://t.co/yeForCXnmG",Isr-Pal,1390753266494058496,Türkçe,Yahudi Karşıtı,"İşgalci #israil #terör örgütü çapulcuları bu #Ramazan'da da müslümanlara eziyet etmeye devam ediyor. #Hayber aşkına yâ rabbi soylarını kurut bu zalimlerin!
#Kudüs
#KudüsBizimdir 
#KudüseSahipÇık #KudusBaskını #Filistin #Palestine #QudsDay #FreePalestine #FreeQuds #Kahrolsunİsrail "
120,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,"#Katilİsrail
İsrail terörist devletidir https://t.co/T1lRvkOWbY",Isr-Pal,1390757009859956745,Türkçe,Yahudi Karşıtı,"#Katilİsrail
İsrail terörist devletidir "
123,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,@akpartiistanbul #Kahrolsunİsrail,Isr-Pal,1390771711738515463,,Yahudi Karşıtı, #Kahrolsunİsrail
126,['Ülke/Milliyet'],5,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"#kahrolsunisrail derken bile kahrolsun ifadesi o kadar sıradanlaştı ki...
Yaşasın Kudüs murabıtları!
Yaşasın Filistin mücahitleri!
Yaşasın Mescid-i Aksâ mücahitleri!
Yaşasın ümmetin namusuna sahip çıkan Filistin erkek ve kadınları, genç ve yaşlıları! #kahrolsunisrail",Isr-Pal,1390773134689771521,,Yahudi Karşıtı,"#kahrolsunisrail derken bile kahrolsun ifadesi o kadar sıradanlaştı ki...
Yaşasın Kudüs murabıtları!
Yaşasın Filistin mücahitleri!
Yaşasın Mescid-i Aksâ mücahitleri!
Yaşasın ümmetin namusuna sahip çıkan Filistin erkek ve kadınları, genç ve yaşlıları! #kahrolsunisrail"
129,['Ülke/Milliyet'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Elbet birgün inşaAllah...

#kahrolsunisrail 
#Kahrolsunİsrail https://t.co/vLpuehol5f",Isr-Pal,1390786231336939523,Türkçe,Yahudi Karşıtı,"Elbet birgün inşaAllah...

#kahrolsunisrail 
#Kahrolsunİsrail "
132,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",4,"['Abartma; Genelleme; Yükleme; Çarpıtma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Zayıf,"@username #kahrolsunisrail 
İsrail bir terör devletidir.
Sonu gelen köpek cami duvarına pislermiş. 
Allah İsrail'i kahru perişan eylesin inşallah.",Isr-Pal,1390786503752699910,Türkçe,Yahudi Karşıtı," #kahrolsunisrail 
İsrail bir terör devletidir.
Sonu gelen köpek cami duvarına pislermiş. 
Allah İsrail'i kahru perişan eylesin inşallah."
135,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"@username #Kahrolsunİsrail 
#MescidiAksa 
#KudüseSahipÇık
#Kahrolsunİsrail",Isr-Pal,1390787893367607298,Türkçe,Yahudi Karşıtı," #Kahrolsunİsrail 
#MescidiAksa 
#KudüseSahipÇık
#Kahrolsunİsrail"
138,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,#Kahrolsunİsrail https://t.co/p03lUXHEqH,Isr-Pal,1390788028084465666,,Yahudi Karşıtı,#Kahrolsunİsrail 
141,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"İnsanlığın uyanma zamanı gelmedi mi?
#Kahrolsunisrail
#DünyaKudüsGünü
#MescidiAksa",Isr-Pal,1390788200944263168,Türkçe,Yahudi Karşıtı,"İnsanlığın uyanma zamanı gelmedi mi?
#Kahrolsunisrail
#DünyaKudüsGünü
#MescidiAksa"
144,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,#Kahrolsunİsrail https://t.co/giomysH59r,Isr-Pal,1390788219529203715,Türkçe,Yahudi Karşıtı,#Kahrolsunİsrail 
147,['Ülke/Milliyet'],1,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Libya ile itrail arası ne olaki altı üstü bi siha uçumu kadar ... sahur vakti hayırlı haber alabiliriz,Isr-Pal,1390788500790947843,Türkçe,Yahudi Karşıtı,Libya ile itrail arası ne olaki altı üstü bi siha uçumu kadar ... sahur vakti hayırlı haber alabiliriz
150,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"Yıkılasın İsrail enkazını göreyim, sana devlet diyenin yüzüne tüküreyim... #kudues #KudueseSahipCık",Isr-Pal,1390800326647758852,Türkçe,Yahudi Karşıtı,"Yıkılasın İsrail enkazını göreyim, sana devlet diyenin yüzüne tüküreyim... #kudues #KudueseSahipCık"
153,"['Ülke/Milliyet', 'Din', 'Hedef grup birden fazla.']",4,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"BU ZULME DUR DEYİN!
#Kahrolsunİsrail
#KudüseSahipÇık
#MescidiAksaBaskını 
#MescidiAksaYanlızDeğildir 
#FreePalestine 
#القدس_اقرب
#انقذوا_حي_الشيخ_جراح
#SaveSheikhJarrah
@username 
@username 
@username
@username 
@username 
@username https://t.co/82psbSSOOG",Isr-Pal,1390800851363680258,Türkçe,Yahudi Karşıtı,"BU ZULME DUR DEYİN!
#Kahrolsunİsrail
#KudüseSahipÇık
#MescidiAksaBaskını 
#MescidiAksaYanlızDeğildir 
#FreePalestine 
#القدس_اقرب
#انقذوا_حي_الشيخ_جراح
#SaveSheikhJarrah
 
 

 
 
 "
156,['Din'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,Allahın gazabı ve laneti senin üzerine olsun israil . #kudues  #KuduesBizimdir  #KuduesBaskını #KuduseSahipCik #Kudusİslamındır https://t.co/9q1mMPp8BP,Isr-Pal,1390801701741936643,Türkçe,Yahudi Karşıtı,Allahın gazabı ve laneti senin üzerine olsun israil . #kudues  #KuduesBizimdir  #KuduesBaskını #KuduseSahipCik #Kudusİslamındır 
