genel_tutum,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,annotator,uploaded_at,konu,tweet_id,dil,kategori_count,kategori_str,kategori_common
Yahudi Karşıtı,['Ülke/Milliyet'],3,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,#Yıkılasınİsrail https://t.co/EOQQoHvwnE,Hande,2023-04-11T08:09:44,Isr-Pal,1394674030754603010,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,Şerefsizlerin bir çocuğu boğduğu video dönüyor her yerde şuan.. Allah'ım ne zulümdür bu yıkılsın artık şu itrail. Yürek dayanmıyor... Ah Filistin....,Ebrar,2022-12-30T17:18:28,Isr-Pal,1395473861941080065,,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Ebu Ümame (radıyalahu anh) anlatıyor: ""Resûlullah (aleyhissalatu vesselam) şöyle buyurdular: ""Ümmetimin seyahati Allah yolunda cihaddır.""

( Ebu Davud )

#OrdularAksaya",Bekir,2023-04-03T14:24:36,Isr-Pal,1395771133555875842,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,@username Memleket teki itrail li fetoş çu pkk lı hepsi ip. İle cehape de toplanmış ondan,Meryem,2023-02-15T08:24:59,Isr-Pal,1396171718687969280,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,"['Ülke/Milliyet', 'Din']",6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username Ve malesefki sözün bittiği yer Ceddimiz ilahi kelimetullah uğruna savaşmış şimdi ise tehvid  bayrağını ,itrail kafiri ayaklar altında çiğnerken bizler izledik sadece 🙈🙊🙉😢😥😰",Mehmet,2023-03-23T12:03:55,Isr-Pal,1397252950884552711,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,yanlış yazmışım itrail yazacaktım*,Mehmet,2023-03-23T12:03:55,Isr-Pal,1439521249974226946,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,@username @username Yurtta sus cihanda sus dönemi kapandı.Yurtta savaş cihanda savaş dönemi https://t.co/qOqEejCHZa girmezsek Abd ve batı orada bir terör develti kuracaklar itrail için.90 sustuk insanlık öldü. Aslan artık mekana geri döndü.,Bekir,2023-04-03T14:24:13,Isr-Pal,1452983947915321354,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Ülke/Milliyet'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username Yazıklar olsun,itrail yöneticisine one miinute çeken,partisine laikliğe karşı eylemlerin odağı olmaktan dava açılan,ERDOĞAN A 
Kahrolsun şeriat,Türkiye layıktır laik kalacak diyen aynı zamanda babanıza da kayıp trilyon davası açıp babanızi da boncuk  terletenlerle 1 olup saldırma",Bekir,2023-04-03T14:24:36,Isr-Pal,1477812693981704196,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yunan Karşıtı,['Irk/Etnik Köken'],7,['Simgeleştirme'],Şiddetli,@gazetesozcu İki Yunan dölü daha doğru olur.,Ebrar,2023-01-10T20:02:07,Tr-Gr,1489553919537782788,,1,Simgeleştirme,['Simgeleştirme']
Yunan Karşıtı,['Irk/Etnik Köken'],5,['Simgeleştirme'],Yok,@hermes_z @yusufalabarda Hadi bakalım yunan tohumu..,Aygün,2023-01-24T10:01:50,Tr-Gr,1493632933885878277,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yunan Karşıtı,['Irk/Etnik Köken'],4,['Simgeleştirme'],Zayıf,@username Hepsi yunan tohumu bunlara hiç bir zaman fırsat vermeyeceğiz anca bas bas anırırlar,İpek,2023-03-22T10:39:46,Tr-Gr,1496791496678604802,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yahudi Karşıtı,['Irk/Etnik Köken'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@zekibahce Türk halkının ukraynadaki oyuna uyandığını görünce birden itrail ve zulmü yüklendi medyaya dengeli olmalıyız ne orda oynanan oyunu dikkatten kaçırmalı nede batının riyakarlığını yüzlerine çarpmayı unutmalıyız,Ebrar,2023-01-23T09:42:59,Isr-Pal,1498595287513841668,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yunan Karşıtı,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",7,['Simgeleştirme'],Yok,@DimitriYordanow Ulan Yunan tohumu gel bir test istersen,Meryem,2022-12-30T17:21:31,Tr-Gr,1499123495732662272,,1,Simgeleştirme,['Simgeleştirme']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",3,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username @username @username Yalan söylüyor sun emre
Ben Filistin den kaçanı bırak tek ayağı ile elindeki sapan ile 6 tane itrail askeri kovalayan gördük 8 yaşında kız çocukları tek başına dimdik durduğunu gördük yüzlerce örneği var
Ayrıca onların bir orduları bile yok ama Ukrayna nin 250 bin kişilik ordusu",Alara,2023-04-03T14:02:10,Isr-Pal,1499469758172905478,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,"['Irk/Etnik Köken', 'Ülke/Milliyet']",1,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"@username @username ya danışıklı dövüş yapılıyor ise.
taraflar anlaşmalıysa o yüzden yüksekten uçması gereken uçaklar alçaktan uçuyorsa o yüzden tanklar zırhlılar terkediliyorsa uyanın yeni itrail ukrayna topraklarında kuruluyor. putin kendi ülkesini satmış parçalıyor rusyayı yeni itrail için.",Alara,2023-04-03T14:02:31,Isr-Pal,1500329664396541957,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yunan Karşıtı,['Irk/Etnik Köken'],6,['Simgeleştirme'],Zayıf,@username @username Ne çok yunan tohumu varmış ülkemizde meclisimizde.,Bekir,2023-03-22T07:49:47,Tr-Gr,1506605648934580231,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yahudi Karşıtı,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@yenisafak burada itip kalkan itrail piçleri 67 de korkudan uçağına yapıyordu en ufak bir hava savunma örtüsünde jettison'u çekip uçağı terkederdi şimdi karşılarında mazlum olunca dayılık yapıyorlar.,Aygün,2023-01-24T09:58:59,Isr-Pal,1515295548697460744,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"helak olacaksın israil
o gün bizim bayramımız olacak 
#GözümüzKulağımızAksada",Ebrar,2023-02-01T17:44:11,Isr-Pal,1515295925970903040,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yahudi Karşıtı,['Irk/Etnik Köken'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,Hayber’i hatırla Hayber’i ey Yahudi! Muhammed’in (aleyhisselam) ordusu geri gelecek! #GözümüzKulağımızAksada,Aygün,2023-01-24T09:58:59,Isr-Pal,1515319590619914242,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yunan Karşıtı,['Irk/Etnik Köken'],7,['Simgeleştirme'],Şiddetli,@KarsiTumceler @zeynomfa2525 @SunaYildizoglu Yunan tohumu iyi oku iyi araştır https://t.co/XijupARkxd,Ebrar,2023-02-01T17:44:12,Tr-Gr,1518031377429676033,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yunan Karşıtı,['Irk/Etnik Köken'],6,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Şiddetli,@username @username @username Sen anca bok yersin deyyuz köpek ecnebi dölü yunan kırması,İpek,2023-03-22T10:38:48,Tr-Gr,1522835116254547969,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],4,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Soyun kurusun İsrail
#Katilİsrail https://t.co/StdPFdNudz",Hande,2023-04-11T08:09:44,Isr-Pal,1525159022495682561,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yunan Karşıtı,['Irk/Etnik Köken'],7,['Simgeleştirme'],Şiddetli,@_KabacHatun_ Ulan bizans tohumu Fatih olmasa İstanbul sende oluyor muydu siz bu göktengriciler de ne Osmanlı düşmanlığı Yunan’ın bıkaktıgı tohumlarsınız heralde.,Ebrar,2023-02-01T17:44:12,Tr-Gr,1526003291926237185,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yahudi Karşıtı,['Ülke/Milliyet'],4,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,Şimdinin emperyalist ülkelerini 110 yıl önce  bir mektupla hizaya getirin bir Pâdişâhımız vardı ! Ona bugün dil uzatanlar Ya ingilizin gönüllü tasmalı köpeğidir ya da Siyonist itrail'in eniği dir ! https://t.co/oafTxOcMw3,Bekir,2023-03-22T07:48:36,Isr-Pal,1528516842012262400,Türkçe,1,Küfür; Hakaret; Aşağılama; İnsandışılaştırma,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma']
Yahudi Karşıtı,['Ülke/Milliyet'],6,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"SONDAKİKA: İşgalci İsrail hükümeti, bugün (Pazar) sabah saatlerinden itibaren başlayacak olan yürüyüş için; #MescidiAksa’ya baskın düzenlemek isteyen işgalci fanatik Yahudilerin Harem-i Şerif’in içine girmesine onay verdi.

#KudüsBizimdir",Meryem,2023-02-15T08:25:32,Isr-Pal,1530705781363974145,Türkçe,1,Abartma; Genelleme; Yükleme; Çarpıtma,['Abartma; Genelleme; Yükleme; Çarpıtma']
Yunan Karşıtı,['Ülke/Milliyet'],4,['Simgeleştirme'],Zayıf,"@username Bak Yunan tohumu,
Feodalite denen bir şey vardı. Korkudan surların arkasına saklanmıştınız.
Madem sayılar çok önemli 10 bin Bizanslı çıkıp savaşmayı deneseydi dışarda. Sadece 1500 yeniçeri yeterdi emin ol. Surlara kapanmışsın yukarıdan grejuva döküyorsun. Sayılar çok normal.",Firdevs,2023-07-01T11:50:14,Tr-Gr,1531265295242887168,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yunan Karşıtı,['Irk/Etnik Köken'],3,['Simgeleştirme'],Yok,"@username @username @username Babası Selanik göçmeni,kökü ta burada Karaman'a kadar dayanan Türkmen yörüğü Ali Riza bey idi.Nur içinde yatsın annemiz Zübeyde hanım da Eskişehir kütüklü Türkmen kızıydı..Yani senin gibi o selanikli miydi ya filan diyen yunan tohumu değildi..",Bekir,2023-06-12T08:10:13,Tr-Gr,1532255600226275329,Türkçe,1,Simgeleştirme,['Simgeleştirme']
Yunan Karşıtı,['Irk/Etnik Köken'],7,['Abartma; Genelleme; Yükleme; Çarpıtma'],Şiddetli,Yunanistan provokasyon Rumlar kışkırtma peşinde https://t.co/qtUy24gmxq @hurriyetcomtr aracılığıyla,Ebrar,2023-02-01T17:44:12,Tr-Gr,1532656496722464770,Türkçe,1,Abartma; Genelleme; Yükleme; Çarpıtma,['Abartma; Genelleme; Yükleme; Çarpıtma']
Yunan Karşıtı,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Şiddetli,"@emsgl1 Bismillah başladık

#ŞakamızYokYunanistan

ANSIZIN GELEBİLİRİZ

BedrinArslanları",Ebrar,2023-02-01T17:44:12,Tr-Gr,1534941293759156224,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yunan Karşıtı,['Irk/Etnik Köken'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Yunan Basını:
-Türkler Ayasofyayı açarsa bizde Atatürk hakkinda olan bilgileri dünyaya açıklarız. Demişlerdi

Nasıl bir tehdit bu, ya da tehdit mi bu 
#ŞakamızYokYunanistan

ANSIZIN GELEBİLİRİZ https://t.co/LmyVZD6OC2",Bekir,2023-06-12T08:11:02,Tr-Gr,1534942936714170368,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
Yunan Karşıtı,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Bu işler, Yunanlı politikacıların şımarıklığına kurban edilemeyecek kadar önemlidir

Yunanistan bunu bilmiyorsa, öğretiriz. ABD 'ye de fazla güvenmeyin. ABD nin bizim karşımıza çıkabilecek durumu yok

#ŞakamızYokYunanistan
ANSIZIN GELEBİLİRİZ https://t.co/psDotbJcwz",Aygün,2023-01-24T10:01:50,Tr-Gr,1534946173093560322,Türkçe,1,Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']
